resource_key,English,简体中文
piko_newx_filtered_replies_dialog_title,Filtered replies,已过滤回复
piko_newx_filtered_replies_empty,No filtered replies for this post.,此帖子没有被过滤的回复。
piko_newx_filtered_replies_whitelist_add,+ Whitelist,+ 加入白名单
piko_newx_filtered_replies_whitelisted,Whitelisted ✓,已加入白名单 ✓
piko_newx_filtered_replies_whitelist_added,Added @%s to whitelist,已将 @%s 加入白名单
piko_newx_filtered_replies_copied,Copied reply text,已复制回复文本
piko_newx_feature_switches_title,Feature switches,功能开关
piko_newx_feature_switches_summary,"Manage, import, or export feature switch overrides",管理、导入或导出功能开关覆盖值
piko_newx_feature_switch_manage_title,Manage feature switches,管理功能开关
piko_newx_feature_switch_manage_summary,"Search observed switches and override boolean, numeric, string, or list values",搜索已观察到的开关，并覆盖布尔、数值、字符串或列表值
piko_newx_feature_switch_import_title,Import feature switches,导入功能开关
piko_newx_feature_switch_import_summary,Replace current feature switch overrides from a JSON file,从 JSON 文件替换当前功能开关覆盖值
piko_newx_feature_switch_export_title,Export feature switches,导出功能开关
piko_newx_feature_switch_export_summary,Save current feature switch overrides to a JSON file,将当前功能开关覆盖值保存为 JSON 文件
piko_newx_feature_switch_import_success,Feature switches imported,功能开关已导入
piko_newx_feature_switch_import_failed,Could not import feature switches,无法导入功能开关
piko_newx_feature_switch_export_success,Feature switches exported,功能开关已导出
piko_newx_feature_switch_export_failed,Could not export feature switches,无法导出功能开关
piko_newx_feature_switch_file_not_selected,No feature switch file was selected,未选择功能开关文件
piko_newx_feature_switch_search_hint,Search feature switches,搜索功能开关
piko_newx_feature_switch_add,Add feature switch,添加功能开关
piko_newx_feature_switch_add_title,Add feature switch,添加功能开关
piko_newx_feature_switch_key_hint,Feature switch key,功能开关键名
piko_newx_feature_switch_value_type,Value type,值类型
piko_newx_feature_switch_next,Next,下一步
piko_newx_feature_switch_invalid_key,Enter a feature switch key.,请输入功能开关键名。
piko_newx_feature_switch_duplicate_key,This feature switch is already listed.,该功能开关已在列表中。
piko_newx_feature_switch_empty,"No feature switches have been observed yet. Use X, then return to this screen.",尚未观察到功能开关。请先使用 X，然后返回此页面。
piko_newx_feature_switch_no_results,No matching feature switches,没有匹配的功能开关
piko_newx_feature_switch_overridden_section,Overridden,已覆盖
piko_newx_feature_switch_not_overridden_section,Default,默认
piko_newx_feature_switch_edit_title,Edit feature switch,编辑功能开关
piko_newx_feature_switch_boolean_value,Boolean value,布尔值
piko_newx_feature_switch_number_value,Number value,数值
piko_newx_feature_switch_string_value,String value,字符串值
piko_newx_feature_switch_list_value,"List values, one per line",列表值，每行一个
piko_newx_feature_switch_save,Save,保存
piko_newx_feature_switch_cancel,Cancel,取消
piko_newx_feature_switch_remove,Remove override,移除覆盖值
piko_newx_feature_switch_invalid_value,Enter a valid value for this switch type.,请输入此开关类型的有效值。
piko_newx_feature_switch_null,null,null
piko_newx_feature_switch_type_boolean,Boolean,布尔值
piko_newx_feature_switch_type_int,Integer,整数
piko_newx_feature_switch_type_long,Long,长整数
piko_newx_feature_switch_type_float,Float,单精度浮点数
piko_newx_feature_switch_type_double,Double,双精度浮点数
piko_newx_feature_switch_type_string,String,字符串
piko_newx_feature_switch_type_list,List,列表
piko_newx_backup_title,Back up settings,备份设置
piko_newx_backup_summary,Save your Piko NewX settings to a JSON file,将 Piko NewX 设置保存为 JSON 文件
piko_newx_restore_title,Restore settings,恢复设置
piko_newx_restore_summary,Restore your Piko NewX settings from a JSON file,从 JSON 文件恢复 Piko NewX 设置
piko_newx_backup_success,NewX settings backed up,NewX 设置已备份
piko_newx_backup_failed,Could not back up NewX settings,无法备份 NewX 设置
piko_newx_restore_failed,Could not restore NewX settings,无法恢复 NewX 设置
piko_newx_backup_restore_no_file,No settings file was selected,未选择设置文件
piko_newx_font_title,Font style,字体样式
piko_newx_font_summary,Customise the app and emoji font style,自定义应用字体和 Emoji 字体样式
piko_newx_custom_font_title,Custom font,自定义字体
piko_newx_custom_font_summary,Apply a custom TTF or OTF font to the app,为应用应用自定义 TTF 或 OTF 字体
piko_newx_add_font_title,Add font,添加字体
piko_newx_add_font_summary,Make sure the font is of type .ttf or .otf,请确保字体文件类型为 .ttf 或 .otf
piko_newx_delete_font_title,Delete font,删除字体
piko_newx_system_font_title,Use system font,使用系统字体
piko_newx_system_font_summary,Use the default system font,使用系统默认字体
piko_newx_custom_emoji_font_title,Custom emoji font,自定义 Emoji 字体
piko_newx_custom_emoji_font_summary,Apply a custom font to emojis,为 Emoji 应用自定义字体
piko_newx_add_emoji_font_title,Add emoji font,添加 Emoji 字体
piko_newx_add_emoji_font_summary,Make sure the font is of type .ttf or .otf,请确保字体文件类型为 .ttf 或 .otf
piko_newx_delete_emoji_font_title,Delete emoji font,删除 Emoji 字体
piko_newx_font_added,Font added successfully,字体添加成功
piko_newx_font_add_failed,Font addition failed,添加字体失败
piko_newx_font_invalid,Make sure the font is of type .ttf or .otf,请确保字体文件类型为 .ttf 或 .otf
piko_newx_font_deleted,Font deleted successfully,字体删除成功
piko_newx_font_delete_failed,Font deletion failed,删除字体失败
piko_newx_font_not_found,No custom font found to be deleted,没有可删除的自定义字体
piko_newx_custom_sharing_domain_title,Custom sharing domain,自定义分享域名
piko_newx_custom_sharing_domain_summary,Replace x.com with a custom domain (like fxtwitter.com) when sharing posts,分享帖子时，将 x.com 替换为自定义域名（例如 fxtwitter.com）
piko_newx_custom_sharing_domain_invalid,Malformed custom sharing domain,自定义分享域名格式错误
piko_newx_canonical_urls_title,Use canonical URLs,使用规范 URL
piko_newx_canonical_urls_summary,Shows expanded URL names in posts and profiles and opens them instead of shortened t.co URLs,在帖子和个人资料中显示展开后的 URL，并直接打开它们，而不是缩短的 t.co 链接
piko_newx_restart_title,Restart X?,重启 X？
piko_newx_restart_summary,Restart the app now to apply this change.,立即重启应用以应用此更改。
piko_newx_restart_now,Restart now,立即重启
piko_newx_action_failed,The NewX settings action failed,NewX 设置操作失败
piko_newx_setting_validation_failed,Could not validate this setting,无法验证此设置
piko_newx_settings_search_hint,Search settings,搜索设置
piko_newx_settings_search_clear,Clear search,清除搜索
piko_newx_settings_search_no_results,"No results for ""%s""",没有找到“%s”的结果
